Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
04/01/2016,63.62,41.48,177.14,102.22,105.35,759.44,33.31,13.97
05/01/2016,63.73,41.68,174.09,102.73,102.71,761.53,32.43,13.72
06/01/2016,62.81,41.05,169.84,102.97,100.7,759.33,31.27,13.11
07/01/2016,60.27,40.27,164.62,97.92,96.45,741,29.99,12.7
08/01/2016,58.92,39.7,163.94,97.33,96.96,730.91,29.53,12.54
11/01/2016,58.83,39.86,165.73,97.51,98.53,733.07,30.25,12.77
12/01/2016,58.96,40.62,165.71,99.37,99.96,745.34,30.3,12.85
13/01/2016,57.34,39.01,158.99,95.44,97.39,719.57,30.49,12.2
14/01/2016,58.2,39.93,161.39,98.37,99.52,731.39,30.3,12.19
15/01/2016,57.04,39.05,155.61,94.97,97.13,710.49,29.57,11.97
19/01/2016,57.01,39.13,156.82,95.26,96.66,719.08,29.4,11.95
20/01/2016,55.51,38.87,153.75,94.35,96.79,718.56,29.42,11.9
21/01/2016,55.25,38.52,151.65,94.16,96.3,726.67,29.55,12.01
22/01/2016,56.95,39.37,156.86,97.94,101.42,745.46,29.28,12.14
25/01/2016,55.66,38.29,151.12,97.01,99.44,733.62,29.23,11.98
26/01/2016,57.08,39.02,154.45,97.34,99.99,733.79,29.65,12.26
27/01/2016,57.04,39.18,153.72,94.45,93.42,717.58,29.21,11.85
28/01/2016,57.28,39.22,157.06,109.11,94.09,748.3,29.02,11.71
29/01/2016,59.5,40.06,161.56,112.21,97.34,761.35,29.64,11.94
01/02/2016,58.86,39.8,159.65,115.09,96.43,770.77,30.11,12.07
02/02/2016,57.03,38.75,151.7,114.61,94.48,780.91,29.65,11.51
03/02/2016,57.41,39.28,152.68,112.69,96.35,749.38,28.92,11.46
04/02/2016,58.4,40.11,156.49,110.49,96.6,730.03,28.64,11.53
05/02/2016,57.75,40.09,156.47,104.07,94.02,703.76,28.54,11.45
08/02/2016,56.54,39.53,149.25,99.75,95.01,704.16,28.68,11.59
09/02/2016,56.2,39.4,148.25,99.54,94.99,701.02,27.87,11.35
10/02/2016,55.52,39.04,147.23,101,94.27,706.85,27.71,11.34
